name;rarity;arts
Burning Vargas;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/6/65/Unit_ills_full_10012.png/]
Fire King Vargas;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/d/d8/Unit_ills_full_10013.png/]
Fire God Vargas;5★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/e/ec/Unit_ills_full_10014.png/]
Selena;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/e/ef/Unit_ills_full_20011.png/]
Ice Selena;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/6/66/Unit_ills_full_20012.png/]
Ice Queen Selena;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/9/9f/Unit_ills_full_20013.png/]
Ice Goddess Selena;5★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/e/e9/Unit_ills_full_20014.png/]
Pikeman Lance;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/0/05/Unit_ills_full_30011.png/]
Vine Pike Lance;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/2/24/Unit_ills_full_30012.png/]
Earth Pike Lance;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/8/84/Unit_ills_full_30013.png/]
Nature God Lance;5★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/b/b5/Unit_ills_full_30014.png/]
Warrior Eze;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/5/54/Unit_ills_full_40011.png/]
Thunder Eze;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/4/46/Unit_ills_full_40012.png/]
Thunder King Eze;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/2/29/Unit_ills_full_40013.png/]
Thunder God Eze;5★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/d/d0/Unit_ills_full_40014.png/]
Squire Atro;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/6/6c/Unit_ills_full_50011.png/]
Knight Atro;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/4/41/Unit_ills_full_50012.png/]
Holy Knight Atro;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/b/ba/Unit_ills_full_50013.png/]
God Atro;5★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/2/20/Unit_ills_full_50014.png/]
Iron Magress;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/6/61/Unit_ills_full_60011.png/]
Heavy Magress;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/5/5a/Unit_ills_full_60012.png/]
Black Magress;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/0/07/Unit_ills_full_60013.png/]
Death Magress;5★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/d/d7/Unit_ills_full_60014.png/]
Beast Zegar;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/d/d8/Unit_ills_full_10021.png/]
Rage Beast Zegar;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/5/55/Unit_ills_full_10022.png/]
Fire Beast Zegar;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/7/7b/Unit_ills_full_10023.png/]
Zephu;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/d/d3/Unit_ills_full_20021.png/]
Knight Zephu;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/c/c4/Unit_ills_full_20022.png/]
Dragoon Zephu;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/e/ef/Unit_ills_full_20023.png/]
Archer Lario;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/7/76/Unit_ills_full_30021.png/]
Marksman Lario;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/9/9e/Unit_ills_full_30022.png/]
Hawkeye Lario;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/f/f6/Unit_ills_full_30023.png/]
Advisor Weiss;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/c/c2/Unit_ills_full_40021.png/]
Strategist Weiss;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/d/d7/Unit_ills_full_40022.png/]
Commander Weiss;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/4/42/Unit_ills_full_40023.png/]
Luna;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/3/31/Unit_ills_full_50021.png/]
Sunshine Luna;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/e/ed/Unit_ills_full_50022.png/]
Holy Queen Luna;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/9/9c/Unit_ills_full_50023.png/]
Mifune;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/a/a9/Unit_ills_full_60021.png/]
Samurai Mifune;3★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/2/28/Unit_ills_full_60022.png/]
God Blade Mifune;4★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/5/54/Unit_ills_full_60023.png/]
Burny;1★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/2/24/Unit_ills_full_10030.png/]
King Burny;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/2/27/Unit_ills_full_10031.png/]
Squirty;1★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/f/fb/Unit_ills_full_20030.png/]
King Squirty;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/7/7c/Unit_ills_full_20031.png/]
Mossy;1★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/8/81/Unit_ills_full_30030.png/]
King Mossy;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/a/ab/Unit_ills_full_30031.png/]
Sparky;1★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/b/b7/Unit_ills_full_40030.png/]
King Sparky;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/a/a9/Unit_ills_full_40031.png/]
Glowy;1★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/7/7a/Unit_ills_full_50030.png/]
King Glowy;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/0/07/Unit_ills_full_50031.png/]
Gloomy;1★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/8/86/Unit_ills_full_60030.png/]
King Gloomy;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/4/44/Unit_ills_full_60031.png/]
Witch Liza;1★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/e/ea/Unit_ills_full_10040.png/]
Warlock Liza;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/7/70/Unit_ills_full_10041.png/]
Priest Merith;1★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/e/e3/Unit_ills_full_20040.png/]
Healer Merith;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/8/85/Unit_ills_full_20041.png/]
Geomancer Claris;1★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/4/4e/Unit_ills_full_30040.png/]
Time Mage Claris;2★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/1/15/Unit_ills_full_30041.png/]
Dancer May;1★;[https://static.wikia.nocookie.net/bravefrontierglobal/images/4/4f/Unit_ills_full_40040.png/]
